Season,Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Adrian Valerio,Pirates ,AA,22,18,53,58,6,5,0,1,0,6,4,5,0,12,0,0,0,2,1,0,0.113207547,sa828164,SS
2019,Adrian Valerio,Pirates ,A+,22,53,181,189,43,34,6,1,2,15,18,5,0,40,1,1,1,4,12,3,0.23756906,sa828164,SS
2019,Moises Perez,Dodgers ,R,21,11,34,38,7,7,0,0,0,5,3,2,0,10,2,0,0,3,0,0,0.205882352,sa828179,SS
2019,Osvaldo Duarte,Astros ,AA,23,96,362,394,81,56,8,6,11,45,40,24,0,124,6,1,1,14,17,7,0.223756906,sa828299,SS
2019,Jose Gomez,Phillies ,AA,22,68,219,241,56,42,9,2,3,23,22,15,1,49,3,3,1,5,4,5,0.255707762,sa828331,SS
2019,Carlos Rivero,Reds ,A+,22,14,50,51,7,5,1,0,1,2,3,0,0,20,0,0,1,0,1,2,0.14,sa828427,SS
2019,Carlos Rivero,Reds ,A,22,38,99,118,17,14,0,2,1,11,3,14,0,51,0,1,4,0,3,1,0.171717171,sa828427,SS
2019,Luis Flores,Cardinals ,A-,22,21,54,63,10,8,1,1,0,6,3,8,0,10,0,1,0,3,1,2,0.185185185,sa828503,SS
2019,Nick Gordon,Twins ,AAA,23,67,282,306,85,50,28,3,4,48,39,17,0,63,3,4,0,6,14,4,0.301418439,sa828662,SS
2019,Jermaine Palacios,Rays ,A+,22,20,61,64,11,10,1,0,0,6,5,2,0,19,1,0,0,1,1,2,0.180327868,sa828886,SS
2019,Alexis Pantoja,Indians ,AA,23,96,341,372,85,68,14,2,1,38,28,23,0,61,1,2,5,13,4,5,0.249266862,sa829182,SS
2019,Jeremy Rivera,Red Sox ,AA,24,68,233,252,55,41,8,1,5,27,27,12,0,47,2,1,3,4,8,2,0.236051502,sa829240,SS
2019,Dalton Guthrie,Phillies ,A+,23,60,213,228,52,34,12,3,3,29,18,8,0,37,3,2,2,3,6,2,0.244131455,sa829836,SS
2019,Bryson Brigman,Marlins ,A+,24,20,75,87,20,17,3,0,0,11,4,8,0,11,2,1,1,2,2,0,0.266666666,sa829857,SS
2019,Bryson Brigman,Marlins ,AA,24,82,268,310,67,49,16,1,1,21,22,33,1,56,4,1,4,8,1,3,0.25,sa829857,SS
2019,Carlos Herrera,Rockies ,A+,22,55,233,256,61,38,13,0,10,37,31,16,1,61,2,5,0,2,9,4,0.261802575,sa830140,SS
2019,Carlos Herrera,Rockies ,AA,22,29,94,104,15,10,3,2,0,8,3,7,0,28,0,1,2,0,0,2,0.159574468,sa830140,SS
2019,Yeltsin Gudino,Orioles ,A+,22,76,250,276,64,55,8,0,1,27,23,22,0,40,2,1,1,4,1,0,0.256,sa830208,SS
2019,Willi Castro,Tigers ,AAA,22,98,380,436,109,75,21,7,6,61,45,36,0,88,12,5,3,3,17,4,0.286842105,sa830274,SS
2019,Andruw Monasterio,Indians ,AA,22,43,160,178,41,36,4,0,1,15,8,12,0,40,0,3,3,2,4,5,0.25625,sa830359,SS
2019,Julio Garcia,Brewers ,A+,21,51,150,162,21,16,5,0,0,12,6,6,0,56,3,1,2,6,0,2,0.14,sa837670,SS
2019,Ryan Howard,Giants ,AA,24,60,205,227,44,35,5,2,2,16,12,17,1,32,1,2,2,7,2,2,0.214634146,sa857225,SS
2019,Jake Cronenworth,Rays ,AAA,25,80,313,366,107,69,24,4,10,69,42,43,0,55,8,2,0,3,11,5,0.341853035,sa857694,SS
2019,Nico Giarratano,Giants ,A,24,65,194,221,35,27,8,0,0,19,14,20,0,72,3,1,3,1,0,2,0.180412371,sa857718,SS
2019,Errol Robinson,Dodgers ,AAA,24,61,191,214,42,31,9,0,2,22,19,21,3,45,2,0,0,10,3,2,0.219895287,sa857819,SS
2019,Errol Robinson,Dodgers ,AA,24,18,57,65,16,12,3,0,1,10,5,7,0,14,0,1,0,2,2,1,0.280701754,sa857819,SS
2019,Kramer Robertson,Cardinals ,AAA,24,58,164,191,40,25,10,0,5,28,23,24,0,40,3,0,0,1,1,4,0.243902439,sa857820,SS
2019,Kramer Robertson,Cardinals ,AA,24,39,129,168,33,21,5,1,6,30,24,26,0,26,8,3,2,3,6,3,0.255813953,sa857820,SS
2019,Kyle Holder,Yankees ,AA,25,84,315,355,86,53,23,3,7,35,33,25,1,53,3,1,11,3,4,1,0.273015873,sa857840,SS
2019,Rafael Narea,Cubs ,A,21,47,127,151,25,20,5,0,0,16,11,13,0,30,4,0,7,5,3,2,0.196850393,sa871441,SS
2019,Jhonny Bethencourt,Cubs ,A+,22,38,117,137,22,17,5,0,0,13,12,15,0,35,0,2,3,8,6,6,0.188034188,sa871485,SS
2019,Kevin Vicuna,Blue Jays ,A+,21,91,327,365,79,61,14,3,1,44,29,26,0,67,7,2,2,7,17,7,0.241590214,sa872466,SS
2019,Yonny Hernandez,Rangers ,A+,21,72,245,309,73,66,6,1,0,42,34,48,0,47,9,3,4,2,17,14,0.297959183,sa872473,SS
2019,Yonny Hernandez,Rangers ,AA,21,27,89,109,25,21,3,1,0,14,8,18,0,16,0,0,2,4,11,1,0.280898876,sa872473,SS
2019,Anderson Tejeda,Rangers ,A+,21,43,158,181,37,22,10,1,4,22,24,17,0,58,3,3,0,1,9,4,0.234177215,sa872474,SS
2019,Joseph Rosa,Mariners ,A,22,80,272,318,73,53,15,2,3,39,33,33,0,64,10,3,0,2,6,4,0.268382352,sa872490,SS
2019,Marcos Rivera,Marlins ,A,22,77,262,278,53,38,10,0,5,26,23,12,0,108,1,3,0,6,2,2,0.202290076,sa872509,SS
2019,Yoel Romero,Mets ,A-,21,25,95,104,29,19,7,1,2,13,11,8,0,19,0,0,1,2,4,3,0.305263157,sa872524,SS
2019,Christopher Torres,Marlins ,A,21,81,300,358,65,45,12,5,3,62,23,57,0,97,0,1,0,3,16,3,0.216666666,sa872538,SS
2019,Gleyvin Pineda,Angels ,A+,22,65,235,272,52,43,7,0,2,19,27,31,1,69,2,2,2,10,1,2,0.221276595,sa872540,SS
2019,Leonardo Rivas,Angels ,A+,21,43,172,201,40,23,10,3,4,26,17,27,1,56,2,0,0,1,3,1,0.232558139,sa872542,SS
