Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Tyler O'Neill,Cardinals (AAA),24,38,142,154,37,21,5,0,11,25,26,11,0,46,0,1,0,3,3,0,0.26056338,15711,OF
2019,Allen Cordoba,Padres (A+),23,77,308,337,96,73,14,5,4,52,27,16,2,57,12,1,0,6,28,9,0.311688311,15722,OF
2019,Rafael Bautista,Nationals (A-),26,12,48,51,10,7,1,0,2,9,4,2,0,7,1,0,0,2,3,0,0.208333333,15769,OF
2019,Rafael Bautista,Nationals (AA),26,11,35,40,5,5,0,0,0,3,3,4,0,7,1,0,0,1,2,0,0.142857142,15769,OF
2019,Rafael Bautista,Nationals (A),26,6,27,30,5,4,1,0,0,1,2,3,0,3,0,0,0,0,2,0,0.185185185,15769,OF
2019,Yonathan Daza,Rockies (AAA),25,86,375,405,137,92,30,4,11,66,47,25,0,49,2,2,1,5,12,9,0.365333333,15794,OF
2019,Clint Frazier,Yankees (AAA),24,33,129,141,31,14,12,0,5,15,13,8,0,27,3,1,0,2,1,1,0.240310077,15983,OF
2019,Mike Gerber,Giants (AAA),26,90,353,394,113,59,30,1,23,75,75,31,0,106,7,3,0,8,4,4,0.320113314,16115,OF
2019,Derek Fisher,Astros (AAA),25,60,224,270,64,40,9,1,14,44,36,40,1,67,4,1,1,3,8,3,0.285714285,16192,OF
2019,Sam Travis,Red Sox (AAA),25,68,236,268,65,43,14,1,7,36,33,31,0,62,1,0,0,5,5,1,0.275423728,16263,OF
2019,Michael Hermosillo,Angels (AAA),24,37,147,174,35,23,5,3,4,28,16,19,0,55,8,0,0,0,4,2,0.238095238,16285,OF
2019,Pablo Reyes,Pirates (AAA),25,50,172,186,48,24,14,0,10,20,28,12,0,37,1,0,1,2,4,3,0.279069767,16357,OF
2019,Oscar Mercado,Indians (AAA),24,30,119,140,35,20,10,1,4,24,15,16,0,32,4,0,1,1,14,3,0.294117647,16375,OF
2019,Jordan Luplow,Indians (AAA),25,9,34,42,12,7,3,0,2,10,6,7,0,11,1,0,0,2,2,1,0.352941176,16424,OF
2019,Jason Martin,Pirates (AAA),23,70,264,286,66,40,15,3,8,39,30,17,1,55,0,3,2,1,6,5,0.25,16429,OF
2019,Mark Zagunis,Cubs (AAA),26,46,179,198,54,31,19,1,3,21,28,16,1,66,3,0,0,4,1,2,0.301675977,16565,OF
2019,Greg Allen,Indians (AAA),26,45,190,212,52,35,9,3,5,36,17,17,1,40,5,0,0,0,8,5,0.27368421,16623,OF
2019,Braxton Lee,Mets (AA),25,80,265,305,73,56,13,2,2,30,25,30,1,72,1,1,8,2,6,4,0.275471698,16839,OF
2019,Braxton Lee,Mets (AAA),25,11,38,44,9,5,3,0,1,4,5,5,0,15,1,0,0,0,0,0,0.236842105,16839,OF
2019,Lane Thomas,Cardinals (AAA),23,75,265,304,71,42,17,2,10,42,44,32,0,80,4,3,0,2,11,6,0.267924528,16939,OF
2019,Rusney Castillo,Red Sox (AAA),31,92,348,376,101,70,18,0,13,54,50,23,1,46,2,2,0,13,3,7,0.290229885,17016,OF
2019,Magneuris Sierra,Marlins (AA),23,48,181,197,51,40,8,2,1,21,7,13,0,32,2,0,1,0,7,1,0.281767955,17023,OF
2019,Magneuris Sierra,Marlins (AAA),23,50,212,220,53,41,6,3,3,32,11,7,0,41,1,0,0,1,14,7,0.25,17023,OF
