last_name,first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Beckham,Tim,542921,136,SEA,SS,29,61,4.52,26.7
Anderson,Brian,605119,146,MIA,3B,26,51,4.38,26.7
Lindor,Francisco,596019,114,CLE,SS,26,21,,26.7
Granderson,Curtis,434158,146,MIA,LF,38,28,,26.7
Abreu,Jose,547989,145,CWS,1B,32,63,4.61,26.7
Candelario,Jeimer,600869,116,DET,3B,26,41,,26.7
Goldschmidt,Paul,502671,138,STL,1B,32,42,4.5,26.7
LeMahieu,DJ,518934,147,NYY,2B,31,68,4.52,26.6
Alonso,Pete,624413,121,NYM,1B,25,57,4.46,26.6
Bell,Josh,605137,134,PIT,1B,27,64,4.51,26.6
Mercer,Jordy,474568,116,DET,SS,33,27,,26.6
Reddick,Josh,502210,117,HOU,RF,32,42,4.26,26.6
Smith Jr,Dwight,596105,110,BAL,LF,27,59,4.44,26.6
Davis,J.D.,605204,121,NYM,3B,26,35,4.58,26.6
Perez,Hernan,541650,158,MIL,2B,28,25,,26.6
Canha,Mark,592192,133,OAK,1B,30,12,,26.5
Maile,Luke,571912,141,TOR,C,28,15,,26.5
Guerrero Jr.,Vladimir,665489,141,TOR,3B,20,22,,26.5
Diaz,Yandy,650490,139,TB,3B,28,65,4.48,26.5
Rojas,Miguel,500743,146,MIA,SS,30,59,4.5,26.5
Arcia,Orlando,606115,158,MIL,SS,25,58,4.47,26.5
Dietrich,Derek,518618,113,CIN,2B,30,30,,26.5
Mejia,Francisco,642336,135,SD,C,24,17,,26.5
Devers,Rafael,646240,111,BOS,3B,23,70,4.26,26.5
Machado,Manny,592518,135,SD,3B,27,53,4.67,26.5
Hicks,John,543308,116,DET,C,30,25,,26.5
Reyes,Franmil,614177,135,SD,RF,24,35,,26.5
Murphy,JohnRyan,571974,109,ARI,C,28,12,,26.5
Descalso,Daniel,518614,112,CHC,2B,33,37,4.4,26.4
Pederson,Joc,592626,119,LAD,LF,27,43,4.31,26.4
McMahon,Ryan,641857,115,COL,2B,25,38,,26.4
Benintendi,Andrew,643217,111,BOS,LF,25,57,4.31,26.4
Inciarte,Ender,542255,144,ATL,CF,29,63,4.21,26.4
Polanco,Gregory,570256,134,PIT,RF,28,20,,26.4
Urshela,Gio,570482,147,NYY,3B,28,43,,26.4
Naquin,Tyler,571980,114,CLE,RF,28,41,4.46,26.3
Pearce,Steve,456665,111,BOS,1B,36,22,,26.3
Knapp,Andrew,595284,143,PHI,C,28,12,,26.3
Longoria,Evan,446334,137,SF,3B,34,46,4.5,26.3
Kinsler,Ian,435079,135,SD,2B,37,46,4.65,26.3
Martinez,J.D.,502110,111,BOS,DH,32,59,4.56,26.3
Ramirez,Hanley,434670,114,CLE,DH,36,16,,26.2
Brantley,Michael,488726,117,HOU,LF,32,55,4.57,26.3
Piscotty,Stephen,572039,133,OAK,RF,28,64,4.56,26.2
Braun,Ryan,460075,158,MIL,LF,36,55,4.51,26.2
Voit,Luke,572228,147,NYY,1B,28,46,4.69,26.2
Davis,Khris,501981,133,OAK,DH,32,41,4.84,26.2
Martinez,Jose,500874,138,STL,RF,31,49,4.58,26.2
Miller,Brad,543543,114,CLE,2B,30,17,,26.2
Calhoun,Kole,594777,108,LAA,RF,32,37,4.52,26.2
Beckham,Gordon,493596,116,DET,SS,33,13,,26.2
Alberto,Hanser,593643,110,BAL,2B,27,43,4.33,26.2
Martin,Russell,431145,119,LAD,C,36,15,,26.2
Parra,Gerardo,467827,120,WSH,LF,32,46,4.4,26.1
Sogard,Eric,519299,141,TOR,2B,33,27,,26.1
Zunino,Mike,572287,139,TB,C,28,35,,26.1
Adams,Matt,571431,120,WSH,1B,31,21,,26.1
Markakis,Nick,455976,144,ATL,RF,36,73,4.38,26.1
Smith,Kevan,607345,108,LAA,C,31,29,4.62,26.1
Freeman,Freddie,518692,144,ATL,1B,30,67,4.51,26
Turner,Justin,457759,119,LAD,3B,35,46,4.59,26
Choo,Shin-Soo,425783,140,TEX,DH,37,57,4.4,26
Suarez,Eugenio,553993,113,CIN,3B,28,46,4.69,26
Plawecki,Kevin,608700,114,CLE,C,28,15,,26
Thames,Eric,519346,158,MIL,1B,33,12,,26
McCann,James,543510,145,CWS,C,29,29,,26
Zimmerman,Ryan,475582,120,WSH,1B,35,33,4.55,26
Bruce,Jay,457803,136,SEA,1B,32,29,,26
Healy,Ryon,592387,136,SEA,3B,27,56,4.62,25.9
Kang,JungHo,628356,134,PIT,3B,32,32,4.61,25.9
Donaldson,Josh,518626,144,ATL,3B,34,45,4.43,25.9
Garver,Mitch,641598,142,MIN,C,28,24,,25.9
Suzuki,Kurt,435559,120,WSH,C,36,17,,25.9
Arenado,Nolan,571448,115,COL,3B,28,56,4.5,25.9
Gonzalez,Marwin,503556,142,MIN,3B,30,41,4.51,25.9
Joyce,Matt,459964,144,ATL,LF,35,11,,25.9
Cron,C.J.,543068,142,MIN,1B,29,43,4.64,25.8
Camargo,Johan,622666,144,ATL,3B,26,35,,25.8
Hosmer,Eric,543333,135,SD,1B,30,64,4.58,25.8
Castro,Jason,488771,142,MIN,C,32,16,,25.8
Kemp,Tony,643393,117,HOU,CF,28,13,,25.7
Hoskins,Rhys,656555,143,PHI,1B,26,38,4.64,25.7
Flores,Wilmer,527038,109,ARI,2B,28,50,4.57,25.7
Wolters,Tony,547172,115,COL,C,27,42,4.71,25.7
Cabrera,Melky,466320,134,PIT,RF,35,48,,25.7
Diaz,Elias,553869,134,PIT,C,29,12,,25.7
Gordon,Alex,460086,118,KC,LF,35,72,4.53,25.7
Ruiz,Rio,547004,110,BAL,3B,25,51,4.61,25.7
Mathis,Jeff,425772,140,TEX,C,36,17,,25.7
Phegley,Josh,572033,133,OAK,C,31,21,,25.6
Carpenter,Matt,572761,138,STL,3B,34,34,,25.6
Chirinos,Robinson,455139,117,HOU,C,35,25,,25.6
Kelly,Carson,608348,109,ARI,C,25,35,4.67,25.6
La Stella,Tommy,600303,108,LAA,2B,30,41,4.49,25.6
Guzman,Ronald,608597,140,TEX,1B,25,10,,25.5
Shaw,Travis,543768,158,MIL,3B,29,29,4.48,25.5
