Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId,Position
2019,Ben Rodriguez,Twins (A),24,55,202,217,42,28,9,0,5,20,19,12,0,54,3,0,0,10,0,0,0.207920792,sa3004301,C
2019,Manny Pazos,Mariners (A),24,32,105,122,21,17,3,0,1,14,6,15,1,27,0,2,0,3,0,0,0.2,sa3004304,C
2019,Zack Soria,Braves (A+),25,20,64,75,10,7,2,0,1,1,9,8,0,25,1,1,1,2,0,0,0.15625,sa3004373,C
2019,Israel Pineda,Nationals (A),19,75,278,308,57,41,11,0,5,36,28,26,0,77,2,2,0,7,1,1,0.205035971,sa3004385,C
2019,Nick Hutchins,Royals (A),23,45,171,181,45,26,16,0,3,18,18,3,0,43,5,2,0,0,1,1,0.263157894,sa3004395,C
2019,Nick Hutchins,Royals (AA),23,9,32,33,7,6,1,0,0,4,3,0,0,14,0,0,1,0,1,0,0.21875,sa3004395,C
2019,Hagen Danner,Blue Jays (A),20,73,250,283,44,19,8,5,12,31,33,24,1,86,5,4,0,6,3,1,0.176,sa3004501,C
2019,Erik Ostberg,Rays (A),23,10,34,39,13,11,1,0,1,5,5,4,1,7,1,0,0,0,0,0,0.382352941,sa3004505,C
2019,Austin Bernard,Rockies (A+),23,64,208,252,46,26,10,4,6,32,19,38,0,70,4,1,1,0,5,1,0.221153846,sa3004510,C
2019,Jordyn Muffley,Rays (A-),22,24,89,97,14,14,0,0,0,7,7,2,0,15,2,1,0,0,3,0,0.15730337,sa3004515,C
2019,Nic Perkins,Nationals (A),23,49,162,186,31,21,9,1,0,12,13,19,0,48,3,1,1,7,2,0,0.191358024,sa3004610,C
2019,Chris Corbett,Giants (A+),24,13,35,39,8,6,2,0,0,4,2,4,0,15,0,0,0,1,0,0,0.228571428,sa3004695,C
2019,Zach Jackson,Cardinals (R),21,28,100,119,19,11,4,1,3,20,18,18,1,36,0,1,0,2,1,0,0.19,sa3004721,C
2019,Nathan Perry,Astros (A-),19,38,131,156,31,18,7,1,5,17,18,22,0,36,3,0,0,1,1,0,0.236641221,sa3004756,C
2019,Alex Dunlap,Nationals (A+),24,42,132,160,30,20,8,0,2,13,14,27,0,42,1,0,0,3,0,0,0.227272727,sa3004878,C
2019,Bryant Quijada,Rockies (A-),19,18,56,66,8,7,0,0,1,5,5,8,0,13,0,0,2,2,0,0,0.142857142,sa3004882,C
2019,Mark Kolozsvary,Reds (A+),23,64,193,234,39,24,10,0,5,20,18,29,0,63,11,1,0,2,0,4,0.202072538,sa3004996,C
2019,J.D. Osborne,Marlins (A),23,58,206,226,55,34,15,0,6,28,29,9,0,47,8,3,0,8,0,0,0.266990291,sa3005053,C
2019,Pedro Diaz,Yankees (R),21,16,36,48,7,5,2,0,0,4,4,10,0,15,0,2,0,0,1,0,0.194444444,sa3005056,C
2019,Zachery Almond,Diamondbacks (A),23,72,250,291,55,36,14,0,5,30,39,30,0,78,2,9,0,2,2,1,0.22,sa3005104,C
2019,Hemmanuel Rosario,Yankees (R),18,14,43,48,5,4,1,0,0,2,6,2,0,17,2,1,0,0,0,0,0.116279069,sa3005130,C
2019,Jan Mercado,Marlins (R),19,10,30,34,7,5,1,0,1,4,4,3,0,6,1,0,0,1,1,0,0.233333333,sa3005152,C
2019,Juan Vasquez,Cubs (R),19,31,71,81,17,14,2,0,1,8,15,10,0,10,0,0,0,3,2,1,0.239436619,sa3005269,C
2019,Jonathan Diaz,Red Sox (A-),19,17,64,69,18,10,6,2,0,9,4,5,0,21,0,0,0,1,1,0,0.28125,sa3005290,C
2019,Alejandro Kirk,Blue Jays (A+),20,53,172,204,52,31,21,0,0,17,28,29,1,25,2,1,0,5,2,0,0.302325581,sa3005337,C
2019,Alejandro Kirk,Blue Jays (A),20,21,77,96,23,13,6,1,3,15,8,18,0,8,0,1,0,3,1,0,0.298701298,sa3005337,C
2019,Lorenzo Quintana,Astros (AAA),30,9,33,37,8,6,0,0,2,8,6,1,0,5,2,1,0,1,0,1,0.242424242,sa3005394,C
2019,Lorenzo Quintana,Astros (AA),30,43,168,179,55,30,13,1,11,36,40,8,0,39,3,0,0,2,1,0,0.327380952,sa3005394,C
